país,ciudad,iata
México,Monterrey,MTY
México,Morelia,MLM
México,Mulegé,MUG
México,Navojoa,NAV
México,Nogales,NOG
México,Nuevo Casas Grandes,NCG
México,Nuevo Laredo,NLD
México,Oaxaca,OAX
México,Pachuca,PCA
México,Palenque,PQM
México,Piedras Negras,PDS
México,Pijijiapan,PJP
México,Poza Rica,PAZ
México,Puerto Escondido,PXM
México,Puerto Peñasco,PPE
México,Puerto Vallarta,PVR
México,Querétaro,QRO
México,Reynosa,REX
México,Salina Cruz,SCX
México,Saltillo,SLW
México,San Cristobal de las Casas,SZT
México,San Felipe,SFH
México,San Luis Potosí,SLP
México,San Luis Río Colorado,UAC
México,Santa Rosalía,PVP
México,Tampico,TAM
México,Tamuín,TCN
México,Tamuín,TSL
México,Tapachula,TAP
México,Teacapán,TCP
México,Tehuacán,TCN
México,Tepic,TNY
México,Tepic,TPQ
México,Tijuana,TIJ
México,Tizimín,TZM
México,Toluca,TLC
México,Torreón,TRC
México,Tulum,TUY
México,Tuxpan,TUX
México,Tuxtla Gutiérrez,TGM
México,Tuxtla Gutiérrez,TGZ
México,Uruapan,UPN
México,Veracruz,VER
México,Villahermosa,VSA
México,Xalapa,JAL
México,Zacatecas,ZCL
México,Zamora,ZMM
México,Zapopan,ZAP
México,Zumpango,SLM
Mozambique,Maputo,MPM
Namibia,Windhoek,WDH
Nepal,Katmandu,KTM
Nicaragua,Managua,MGA
Nigeria,Kano,KAN
Nigeria,Lagos,LOS
Nigeria,Niamei,NIM
Noruega,Bergen,BGO
Noruega,Kristiansand,KRS
Noruega,Oslo,OSL
Noruega,Oslo,OSL
Noruega,Stavanger,SVG
Nueva Caledonia,Noumea,NOU
Nueva Zelanda,Auckland,AKL
Nueva Zelanda,Christchurch,CHC
Nueva Zelanda,Wellington,WLG
Oman,Mascate,MCT
Pakistán,Islamabad,ISB
Pakistán,Karachi,KHI
Panama,Panama,PTY
Paraguay,Asuncion,ASU
Pero,Iquitos,IQT
Perú,Arequipa,AQP
Perú,Ayacucho,AYP
Perú,Chiclayo,CIX
Perú,Cuzco,CUZ
Perú,Lima,LIM
Perú,Piura,PIU
Perú,Pucallpa,PCL
Perú,Puerto maldonado,PEM
Perú,Tacna,TCQ
Perú,Trujillo,TRU
Polonia,Varsovia,WAW
Portugal,Faro,FAO
Portugal,Funchal,FNC
Portugal,Horta,HOR
Portugal,Lisboa,LIS
Portugal,Oporto,OPO
Portugal,Ponta delgada,PDL
Puerto Rico,San Juan,SJU
Qatar,Doha,DOH
Rep. centroafricana,Bangui,BGF
Rep. pop. del congo,Brazzaville,BZV
República Dominicana,Punta cana,PUJ
República Dominicana,Santo Domingo,SDQ
Rumania,Bucarest,BUH
Rumania,Timisoala,TSR
Rusia,Moscu,MOW
Rwanda,Kigali,KGL
Samoa,Apia,APW
Samoa,Pago pago,PPG
Senegal,Dakar,DKR
Sierra Leona,Freetown,FNA
Singapur,Singapur,SIN
Siria,Alepro,ALP
Siria,Damasco,DAM
Sri Lanka,Colombo,CMB
Sudáfrica,Cape town,CPT
Sudáfrica,Johannesburgo,JNB
Sudán,Khartum,KRT
Suecia,Estocolmo,STO
Suecia,Gotemburgo,GOT
Suecia,Malmo,MMA
Suiza,Ginebra,GVA
Suiza,Zurich,ZRH
Surinam,Paramaribo,PBM
Tahiti,Papeete,PPT
Tailandia,Phuket,HKT
Taiwan,Kaohsiung,KHH
Taiwan,Taipei,TPE
Tanzania,Dar es salaam,DAR
Togo,Lome,LFW
Trinidad,Port of spain,POS
Ttnr madagascar,Bangkok,BKK
Turquía,Ankara ,ANK
Turquía,Esmirna,IZM
Turquía,Estambul,IST
Uganda,Entebe,EBB
Uruguay,Colonia,CYR
Uruguay,Montevideo,MVD
Uruguay,Punta del este,PDP
Venezuela,Barcelona,BLA
Venezuela,Caracas,CCS
Venezuela,Maracaibo,MAR
Venezuela,Porlamar,PMV
Vietnam,Hanoi,HAN
Vietnam,Ho chi minh,SGN
Yemen,Sanaa,SAH
Yugoslavia,Belgrado,BEG
Zaire,Bukavu,BKY
Zaire,Kinshasa,FIH
Zaire,Lubumbashi,FBM
Zambia,Lusaka,LUN
Zimbabue,Bulawayo,BUQ
Zimbabue,Harare,HRE
Zimbabue,Victoria Falls,VFA
